Question No,Sub Area Full Code,Area,Sub Area Number,Sub Area,Specific Aspect,Best Practice Benchmark,Check List of Questions,
95,701.- Job Specifications,HUMAN RESOURCES,701,,Job Specifications,"The company has written job specifications for all positions setting out key result indicators, tasks, standards, authority, competencies and attributes required.","1. How do the line managers know what is expected of them in terms of key results, tasks, standards, and their level of authority? 
2. How have you matched the managers you have to the positions that they hold?  
3. What problems generally crop up in this area and why? 
4. How have your resloved the problems?",
96,701.- Grading ,HUMAN RESOURCES,701,,Grading ,The company has a job grading system which is aligned to industry norms . ,"1. What job grading system do you use? 
2. What garding system applies in the industry and how are you aligned? 
3. What purpose does your grading sytem serve? 
",
97,701.- Conditions of Employment,HUMAN RESOURCES,701,,Conditions of Employment,The company has policies and guidelines setting out conditions of employment which comply with the sector and industry basic conditions of service and other regulations.,"1. What basic conditions of service apply in your sector and industry? 
2. What is the company's policies, guidelines and conditions of employment? 
3. How do you use this as a means to attract and retain good people? 
4. Have you had any problems in this area?",
98,702.Recruitment & Performance Management -  Recruitment ,HUMAN RESOURCES,702,Recruitment & Performance Management , Recruitment ,The company has explicit written policies and criteria to ensure transparency and fairness in recruiting and selecting personnel.,"1. What are your policies and criteria in recruiting personnel? 
2. What did the company want to achieve through the policies and criteria?  
3. How have you ensured that the recruitment process is tranparent and results in right person?  
4. Have you had any problems in this area and what was the cause? 
5. What was to cost or consequence?",
99,702.- Performance Management,HUMAN RESOURCES,702,,Performance Management,The company has written guidelines and procedures for managing performance on a regular basis and ensuring transparency in decisions concerning remuneration adjustments and personnel movements. ,"1. What guidelines and procedures does the company have for managing employee performance? 
2. When are performance reviews done? 
3. Who takes part and who signs off? 
4. What do you use performance review results to achieve?  
5. Is this proving to be beneficial or costly and can you quantify?",
100,"702.- Management, Skills and Personal Development",HUMAN RESOURCES,702,,"Management, Skills and Personal Development",The company has written policies and practices for developing its personnel to enhance competencies and performance.,"1. What policies and practices do you have for developing you employees? 
2. How are employees identified and slected for development?  
3. Why are you doing this? 
4. Has it been a benefit or a cost to the company? 
5.What has been the impact?",
101,702.- Labour and Industrial Relations,HUMAN RESOURCES,702,,Labour and Industrial Relations,"The company knows the provisions of the labour and industrial relations regulations and applies these to promote equity, fairness and harmony in the work place. ","1. How would you describe the state of indutrial relations in your company? 
2. What is the company doing to ensure good industrial relations? 
3. What types of problems has the experienced? 
4. What have been the consequences and costs?",
102,801.Information  & Knowledge Management- Needs,MANAGEMENT OF INFORMATION,801,Information  & Knowledge Management,Needs,The company has clearly defined its internal and external information needs which inform and underpin its business. ,"1. What type of information is critical for your business? 
2. Why is the information considered to be critical? 
3. What are the main sources of information? ",
103,801.- Management,MANAGEMENT OF INFORMATION,801,,Management,"The company has the capacity and methods to efficiently gather, process, and generate useful reports on a consistent and regular basis. ","1. What capacity do you have to gather and process the information, and what methods do you use? 
2.  What types of reports do you generate and how often? ",
104,801.- Communication,MANAGEMENT OF INFORMATION,801,,Communication,"The company has identified key stakeholders and users, what information should be communicated to them, and the means and regularity by which information is channelled to them.","1. Who are the key stakeholders and users of the information and reports? 
2. How is the information communicated and how often? 
3. How do you gauge that the information is useful? 
4. What has been the impact of providing the information?",
105,801.- Systems,MANAGEMENT OF INFORMATION,801,,Systems,"The company has a system for classifying, storing, providing access and distributing information to ensure security and integrity.  ","1. What information systems does the company have? 
2. How is the access to systems managed? 
3. What security devices do the systems have?",
106,901.Product/ Service - Quality Standards,QUALITY MANAGEMENT,901,Product/ Service ,Quality Standards,The company has written product or service standards which are informed by the market and clients it supplies. ,"1. What are the quality standards do you have for your products/services? 
2. What are the main factors that influenced the setting of the standard?  
3. What has been the impact?",
107,901.- Specifications,QUALITY MANAGEMENT,901,,Specifications,"The company has written specifications for every product or service, covering where necessary, components, composition, ingredients, weights, ratings, capacities, warnings, trace information, etc to ensure transparency and compliance with standards and regulations.","1. What written specifications do you have for your products and services? 
2. What do they cover and how do they compare to the industry requirements? 
3. How do you ensure that your products and services carry the specifications?  
4. What problems have you had? 5.What have been the consequences and costs?",
108,901.- Innovation and Improvements,QUALITY MANAGEMENT,901,,Innovation and Improvements,The company has mechanisms and procedures for continuously tracking trends to improve its product and services.,"1. How do you track trends and devlopments in the market in your line of business? 
2. How do you know when you need to make changes and improvements to your products and services? 
3. How often do you have to do this and what has been the impact?",
109,901.- Warranties ,QUALITY MANAGEMENT,901,,Warranties ,The company offers warranties or guarantees or recourse on its products and services as a mark of confidence in its product or service quality,"1. Do you offer warranties or gurantees or recourse on your products or services? 
2. What are they and are they written?  
3. What has been the company's expereince and impact on the business? ",
110,902.Processes- Sequencing and Stages ,QUALITY MANAGEMENT,902,Processes,Sequencing and Stages ,The company has documented processes  laying out the sequences and stages in producing its products and or services for consistency and reliability,"1. What documented processes, stages and sequences are laid out to guide production? 
2. How do you ensure that these are adhered to? 
3. What problems have you experienced and what has been the impact?",
111,902.- Instructions,QUALITY MANAGEMENT,902,,Instructions,The company has documented instructions and methods to guide employees in carrying each task to ensure consistency and reliability.,"1. What documented instructions and methods do have to direct employees in carrying each task in production or services? 
2. How do you ensure that these are adhered to? 
3. What problems have you experienced and what has been the impact? ",
112,902.- Inspection /   Verification,QUALITY MANAGEMENT,902,,Inspection /   Verification,The company has documented procedures and instructions for testing or inspecting products and services to ensure that quality standards have been met.,"1. What documented procedures and instructions do you for testing and inspecting products and services? 
2. How do you ensure that these are followed and adhered to?  
3.What is the company's experience and impact?",
113,902.- Certification,QUALITY MANAGEMENT,902,,Certification,The company applies sector and industry practices and standards in certifying its products,"1.What are sector and industry practices and standards in certifying products and services? 
2. Which of these has the company attained? 
3. What are the consequences and costs of not having not attaining these standards?",
